,PRODUCTOID,PRODUCTO,PRODUCTOCODIGO,DEPOSITOID,DEPOSITO,SUPERFICIE,CANTIDAD1,UNIDAD1,CANTIDAD2,UNIDAD2,PUNTOREPOSICION,CANTIDADSTOCKAREPONER,LUGARID,LUGAR,RELACIONCANTIDADES,CARGA,MONEDA,COTIZACION,PRECIOUNIDADSTOCK1,PRECIOUNIDADSTOCK2,IMPORTE,PRODUCTORAMA1,PRODUCTORAMA2,PRODUCTORAMA3,PRODUCTORAMAN,DEPOSITORAMA1,DEPOSITORAMA2,DEPOSITORAMA3,DEPOSITORAMAN,PARTIDA,CARGACANTIDAD1PORSUPERFICIE,PARTIDA_ALTA,PARTIDA_VTO,ORGANIZACIONID,ORGANIZACION,CUENTA,TENENCIA,PARTIDAID,STOCKMINIMO,CONCEPTOPRODUCTO,MARCA,SUBFAMILIA,FAMILIA,RUBRO,ACTIVO
0,487,CATETER BALON BIB 10 MM X 3.0 CM,BB005,112,OMNIMEDICA CENTRAL,,0.0,Unidades,0.0,,3.0,3.0,,,0.0,0.0,Dólares,135.0,0.0,0.0,0.0,,,,,,,,,,0.0,01-01-1900,01-01-1900,,,Mercadería en Stock Bienes Importados,0.0,0,0.0,Prod. Venta/Compra/Stock,NuMED,BIB,NUMED,CARDIOLOGIA,True
1,487,CATETER BALON BIB 10 MM X 3.0 CM,BB005,141,BANCO DE PENDIENTES ,,0.0,Unidades,0.0,,0.0,0.0,,,0.0,0.0,Dólares,135.0,0.0,0.0,0.0,,,,,,,,,,0.0,01-01-1900,01-01-1900,,,Mercadería en Stock Bienes Importados,0.0,0,,Prod. Venta/Compra/Stock,NuMED,BIB,NUMED,CARDIOLOGIA,True
2,488,CATETER BALON BIB 10 MM X 4.5 CM,BB048,112,OMNIMEDICA CENTRAL,,2.0,Unidades,0.0,,3.0,1.0,,,0.0,0.0,Dólares,135.0,54000.0,0.0,108000.0,,,,,,,,,,0.0,01-01-1900,01-01-1900,,,Mercadería en Stock Bienes Importados,0.0,0,0.0,Prod. Venta/Compra/Stock,NuMED,BIB,NUMED,CARDIOLOGIA,True
3,489,CATETER BALON BIB 12 MM X 3.0 CM,BB006,112,OMNIMEDICA CENTRAL,,1.0,Unidades,0.0,,3.0,2.0,,,0.0,0.0,Dólares,135.0,54000.0,0.0,54000.0,,,,,,,,,,0.0,01-01-1900,01-01-1900,,,Mercadería en Stock Bienes Importados,0.0,0,0.0,Prod. Venta/Compra/Stock,NuMED,BIB,NUMED,CARDIOLOGIA,True
4,489,CATETER BALON BIB 12 MM X 3.0 CM,BB006,141,BANCO DE PENDIENTES ,,0.0,Unidades,0.0,,0.0,0.0,,,0.0,0.0,Dólares,135.0,0.0,0.0,0.0,,,,,,,,,,0.0,01-01-1900,01-01-1900,,,Mercadería en Stock Bienes Importados,0.0,0,,Prod. Venta/Compra/Stock,NuMED,BIB,NUMED,CARDIOLOGIA,True
5,490,CATETER BALON BIB 12 MM X 3.5 CM,BB009,112,OMNIMEDICA CENTRAL,,1.0,Unidades,0.0,,2.0,1.0,,,0.0,0.0,Dólares,135.0,54000.0,0.0,54000.0,,,,,,,,,,0.0,01-01-1900,01-01-1900,,,Mercadería en Stock Bienes Importados,0.0,0,0.0,Prod. Venta/Compra/Stock,NuMED,BIB,NUMED,CARDIOLOGIA,True
6,491,CATETER BALON BIB 12 MM X 4.0 CM,BB033,112,OMNIMEDICA CENTRAL,,1.0,Unidades,0.0,,6.0,5.0,,,0.0,0.0,Dólares,135.0,54000.0,0.0,54000.0,,,,,,,,,,0.0,01-01-1900,01-01-1900,,,Mercadería en Stock Bienes Importados,0.0,0,0.0,Prod. Venta/Compra/Stock,NuMED,BIB,NUMED,CARDIOLOGIA,True
7,492,CATETER BALON BIB 12 MM X 4.5 CM,BB037,112,OMNIMEDICA CENTRAL,,1.0,Unidades,0.0,,6.0,5.0,,,0.0,0.0,Dólares,135.0,54000.0,0.0,54000.0,,,,,,,,,,0.0,01-01-1900,01-01-1900,,,Mercadería en Stock Bienes Importados,0.0,0,0.0,Prod. Venta/Compra/Stock,NuMED,BIB,NUMED,CARDIOLOGIA,True
8,493,CATETER BALON BIB 14 MM X 3.0 CM,BB052,112,OMNIMEDICA CENTRAL,,3.0,Unidades,0.0,,4.0,1.0,,,0.0,0.0,Dólares,135.0,54000.0,0.0,162000.0,,,,,,,,,,0.0,01-01-1900,01-01-1900,,,Mercadería en Stock Bienes Importados,0.0,0,0.0,Prod. Venta/Compra/Stock,NuMED,BIB,NUMED,CARDIOLOGIA,True
9,493,CATETER BALON BIB 14 MM X 3.0 CM,BB052,141,BANCO DE PENDIENTES ,,0.0,Unidades,0.0,,0.0,0.0,,,0.0,0.0,Dólares,135.0,0.0,0.0,0.0,,,,,,,,,,0.0,01-01-1900,01-01-1900,,,Mercadería en Stock Bienes Importados,0.0,0,,Prod. Venta/Compra/Stock,NuMED,BIB,NUMED,CARDIOLOGIA,True
10,494,CATETER BALON BIB 14 MM X 3.5 CM,BB025,112,OMNIMEDICA CENTRAL,,1.0,Unidades,0.0,,2.0,1.0,,,0.0,0.0,Dólares,135.0,54000.0,0.0,54000.0,,,,,,,,,,0.0,01-01-1900,01-01-1900,,,Mercadería en Stock Bienes Importados,0.0,0,0.0,Prod. Venta/Compra/Stock,NuMED,BIB,NUMED,CARDIOLOGIA,True
11,495,CATETER BALON BIB 14 MM X 4.0 CM,BB038,112,OMNIMEDICA CENTRAL,,4.0,Unidades,0.0,,5.0,1.0,,,0.0,0.0,Dólares,135.0,54000.0,0.0,216000.0,,,,,,,,,,0.0,01-01-1900,01-01-1900,,,Mercadería en Stock Bienes Importados,0.0,0,0.0,Prod. Venta/Compra/Stock,NuMED,BIB,NUMED,CARDIOLOGIA,True
12,496,CATETER BALON BIB 14 MM X 4.5 CM,BB035,112,OMNIMEDICA CENTRAL,,2.0,Unidades,0.0,,3.0,1.0,,,0.0,0.0,Dólares,135.0,54000.0,0.0,108000.0,,,,,,,,,,0.0,01-01-1900,01-01-1900,,,Mercadería en Stock Bienes Importados,0.0,0,0.0,Prod. Venta/Compra/Stock,NuMED,BIB,NUMED,CARDIOLOGIA,True
